Key,Description,Start,End,Done,NeededBy
1,Exploratory topic reading,2026-04-01,2026-04-11,100,
2,Finalize topic,2026-04-10,2026-04-13,100,
3,Create thesis LaTeX,2026-04-13,2026-05-03,100,
4,Write MS thesis proposal,2026-05-01,2026-06-15,75,
5,Thesis proposal review 1,2026-06-16,2026-06-20,0,
6,Thesis proposal submission,2026-06-21,2026-06-22,0,
7,Submit NGOHS application,2026-06-22,2026-06-23,0,
8,Create visual for proposal,2026-06-22,2026-07-12,0,
9,Practice proposal defense,2026-07-10,2026-07-15,0,
10,Defend thesis proposal,2026-07-15,2026-07-16,0,
11,File research to RGAO,2026-07-15,2026-07-17,0,
12,Work specific objective 1,2026-07-17,2026-07-25,0,
13,Work specific objective 2,2026-07-25,2026-08-05,0,
14,Work specific objective 3,2026-08-05,2026-08-15,0,
15,Thesis review 1,2026-08-15,2026-08-16,0,
16,Work specific objective 4,2026-08-16,2026-08-20,0,
17,Work specific objective 5,2026-08-20,2026-08-24,0,
18,Work specific objective 6,2026-08-24,2026-08-28,0,
19,Write results discussions,2026-08-28,2026-08-31,0,
20,Write conclusions recommendations,2026-08-31,2026-09-01,0,
21,Thesis review 2,2026-09-01,2026-09-02,0,
22,Thesis revision,2026-09-02,2026-09-05,0,
23,Thesis review 3,2026-09-05,2026-09-08,0,
24,Finalize thesis,2026-09-08,2026-09-10,0,
25,Create visual for thesis defense,2026-09-10,2026-09-25,0,
26,Practice thesis defense,2026-09-20,2026-10-05,0,
27,Defend thesis,2026-10-05,2026-10-06,0,
28,Work on revisions,2026-10-06,2026-10-10,0,
29,Finalize manuscript,2026-10-10,2026-10-12,0,
30,Print manuscript,2026-10-12,2026-10-13,0,
31,Submit manuscript,2026-10-13,2026-10-30,0,
32,Write paper for journal,2026-10-13,2026-10-25,0,
33,Paper journal reviews,2026-10-25,2026-10-28,0,
34,Paper journal revisions,2026-10-28,2026-10-30,0,
35,Finalize journal paper,2026-10-30,2026-11-04,0,
36,Submit to journal,2026-11-04,2026-11-05,0,
